feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
16,31,5,9,17,0,0,0,1,0,0,2,6,0,4,3,2,0,3,0,3,11,2,0
17,31,5,9,29,0,2,1,0,0,0,2,12,4,2,1,4,1,7,4,9,16,1,0
18,31,5,9,15,0,4,4,1,1,0,4,5,1,0,2,3,2,4,1,2,7,1,0
19,31,5,9,48,0,3,2,1,0,2,3,14,4,5,3,9,2,11,4,11,32,3,0
20,31,6,9,22,0,0,0,2,0,0,1,7,2,3,1,3,0,4,2,5,13,4,1
21,31,6,9,18,0,2,2,2,1,1,4,5,3,2,1,2,1,4,3,7,17,2,0
22,31,6,9,13,0,0,0,1,0,1,2,4,3,1,0,0,1,2,3,5,10,1,0
23,31,6,9,16,0,0,1,2,1,2,1,6,2,0,2,2,1,5,2,5,10,2,0
24,31,6,9,17,0,0,0,3,1,1,1,8,1,3,0,2,1,5,1,3,7,2,0
25,31,6,9,17,0,0,0,0,1,0,0,6,2,2,0,2,2,4,2,5,10,2,0
26,31,6,9,22,0,0,1,1,0,0,1,6,2,5,1,1,1,5,2,5,11,1,0
27,31,6,9,5,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,5,0,0
28,31,7,9,34,0,11,5,2,2,2,13,16,3,2,1,4,3,7,3,7,15,3,0
29,31,7,9,24,0,4,3,2,1,1,7,10,1,3,1,3,1,6,1,3,7,3,0
30,31,8,9,33,0,3,2,3,3,6,10,13,3,1,2,3,1,8,3,8,21,3,0
31,31,9,9,5,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,0,0
1,4,1,1,14,0,1,1,3,3,2,2,4,3,1,0,0,1,4,3,5,9,2,1
2,4,1,1,21,0,0,0,0,1,0,1,5,3,3,1,1,0,4,3,7,17,2,1
3,4,1,1,23,0,1,1,0,1,0,2,7,4,2,1,2,1,4,3,5,14,1,0
4,4,1,1,12,0,1,0,0,0,1,0,3,3,1,0,1,0,3,3,4,8,2,0
1,112,1,23,10,0,1,0,5,3,2,1,3,1,2,0,1,0,2,1,3,8,3,1
2,112,1,23,24,0,1,1,0,1,0,2,7,3,2,4,3,2,6,3,6,18,1,0
3,112,1,23,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
4,112,1,23,18,0,0,0,3,3,1,1,4,2,5,2,1,1,3,2,5,13,3,1
5,112,1,23,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0
6,112,2,23,5,0,1,0,1,1,1,1,2,1,2,0,0,0,2,1,1,1,1,0
7,112,2,23,24,0,4,4,0,1,1,6,11,3,2,0,2,2,6,2,5,10,2,0
8,112,2,23,15,0,0,0,0,0,2,1,4,1,1,1,3,0,2,1,3,11,1,0
9,112,3,23,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0
10,112,3,23,11,0,0,0,1,1,0,0,2,1,3,1,1,0,2,1,3,11,1,0
11,112,3,23,10,0,0,0,1,1,0,0,4,1,0,0,2,0,4,1,4,7,1,0
12,112,3,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
